file_id |01 |02 |03 |04 |05 |06 |07 |08 |
10_31_0.wav |7.6%|15.4%|6.4%|2.3%|18.2%|20.5%|24.6%|5.0%|
10_31_1.wav |26.8%|2.6%|4.9%|4.0%|32.7%|8.4%|9.9%|10.8%|
10_31_2.wav |1.3%|34.7%|55.5%|0.2%|0.3%|1.1%|6.5%|0.4%|
10_31_3.wav |0.2%|72.7%|16.8%|0.1%|0.1%|1.1%|9.0%|0.1%|
10_31_4.wav |13.7%|0.9%|74.4%|0.4%|1.1%|0.3%|1.5%|7.8%|
10_32_0.wav |2.0%|27.6%|2.2%|1.3%|10.0%|41.3%|8.3%|7.4%|
10_32_1.wav |34.6%|3.2%|18.4%|2.0%|13.6%|5.1%|5.9%|17.2%|
10_32_2.wav |3.2%|16.0%|73.6%|0.2%|0.5%|1.0%|4.5%|1.1%|
10_32_3.wav |0.2%|80.1%|8.4%|0.1%|0.2%|2.3%|8.6%|0.1%|
10_32_4.wav |11.5%|2.0%|16.0%|1.4%|7.5%|3.0%|2.3%|56.3%|
10_33_0.wav |1.2%|17.6%|0.9%|1.5%|13.7%|51.2%|7.5%|6.5%|
10_33_1.wav |13.2%|3.7%|3.7%|3.2%|35.2%|16.1%|9.3%|15.7%|
10_33_2.wav |0.3%|72.2%|9.4%|0.2%|0.5%|4.1%|13.1%|0.2%|
10_33_3.wav |0.1%|80.0%|4.2%|0.1%|0.2%|3.2%|12.0%|0.1%|
10_33_4.wav |2.5%|0.9%|6.3%|0.6%|2.6%|1.4%|0.5%|85.2%|
10_34_0.wav |1.4%|57.0%|7.8%|0.8%|3.0%|17.3%|8.5%|4.1%|
10_34_1.wav |57.6%|0.5%|19.6%|0.7%|4.4%|0.7%|0.8%|15.6%|
10_34_2.wav |1.3%|44.8%|44.7%|0.2%|0.4%|1.9%|5.8%|0.8%|
10_34_3.wav |0.2%|76.0%|15.5%|0.1%|0.1%|1.3%|6.6%|0.1%|
10_34_4.wav |7.2%|4.1%|68.1%|0.4%|1.3%|1.0%|1.7%|16.2%|
10_35_0.wav |5.0%|31.2%|5.9%|1.0%|10.0%|29.6%|10.9%|6.2%|
10_35_1.wav |37.1%|7.1%|21.2%|1.3%|11.0%|6.4%|9.6%|6.3%|
10_35_2.wav |4.3%|21.7%|63.4%|0.2%|0.6%|1.4%|7.7%|0.6%|
10_35_3.wav |0.1%|87.1%|5.8%|0.1%|0.1%|1.9%|4.9%|0.1%|
10_35_4.wav |8.5%|11.3%|34.7%|0.8%|4.9%|5.6%|4.3%|29.9%|
10_36_0.wav |8.5%|16.8%|10.2%|2.3%|16.6%|17.4%|21.4%|6.9%|
10_36_1.wav |74.8%|0.2%|17.5%|0.6%|2.6%|0.2%|1.2%|2.8%|
10_36_2.wav |0.6%|19.5%|76.9%|0.1%|0.1%|0.3%|2.4%|0.2%|
10_36_3.wav |0.4%|46.2%|43.8%|0.1%|0.1%|0.7%|8.6%|0.1%|
10_36_4.wav |4.0%|2.5%|82.2%|0.2%|0.5%|0.4%|0.9%|9.4%|
10_37_0.wav |0.4%|35.6%|0.8%|0.6%|4.6%|47.9%|4.2%|5.9%|
10_37_1.wav |13.2%|9.0%|13.4%|1.3%|12.2%|12.4%|5.0%|33.5%|
10_37_2.wav |0.2%|84.3%|7.6%|0.1%|0.2%|3.5%|3.6%|0.4%|
10_37_3.wav |0.1%|85.2%|8.8%|0.1%|0.1%|1.5%|4.1%|0.1%|
10_37_4.wav |1.7%|34.9%|26.4%|0.6%|2.0%|7.6%|4.0%|22.8%|
10_38_0.wav |2.6%|13.2%|2.0%|1.7%|18.9%|40.0%|8.5%|13.0%|
10_38_1.wav |23.0%|2.2%|6.8%|1.6%|20.3%|7.4%|2.8%|35.9%|
10_38_2.wav |0.5%|62.4%|31.0%|0.1%|0.2%|1.2%|4.4%|0.3%|
10_38_3.wav |0.3%|48.7%|44.6%|0.1%|0.1%|0.6%|5.6%|0.1%|
10_38_4.wav |6.1%|2.5%|72.7%|0.4%|1.1%|0.6%|1.5%|15.0%|
10_39_0.wav |3.3%|12.2%|1.8%|1.5%|15.0%|39.0%|4.1%|23.1%|
10_39_1.wav |68.7%|0.2%|25.9%|0.2%|1.1%|0.1%|0.4%|3.3%|
10_39_2.wav |2.3%|12.1%|82.2%|0.1%|0.2%|0.4%|2.4%|0.4%|
10_39_3.wav |0.2%|78.2%|14.3%|0.1%|0.1%|1.5%|5.5%|0.1%|
10_39_4.wav |9.3%|2.5%|79.9%|0.2%|0.7%|0.5%|1.3%|5.5%|
10_40_0.wav |4.3%|20.9%|13.4%|2.0%|10.8%|14.4%|27.8%|6.4%|
10_40_1.wav |34.9%|0.6%|2.4%|3.1%|35.3%|4.0%|2.9%|16.8%|
10_40_2.wav |2.5%|21.1%|59.9%|0.2%|0.7%|1.4%|13.6%|0.6%|
10_40_3.wav |0.4%|49.4%|10.4%|0.3%|0.7%|3.4%|35.2%|0.2%|
10_40_4.wav |4.8%|10.2%|67.7%|0.5%|1.6%|1.6%|11.2%|2.5%|
10_41_0.wav |0.7%|9.3%|0.3%|1.5%|14.0%|55.2%|2.3%|16.7%|
10_41_1.wav |8.3%|1.2%|0.5%|3.1%|46.7%|14.7%|2.0%|23.6%|
10_41_2.wav |0.1%|88.3%|6.4%|0.1%|0.1%|2.0%|2.9%|0.2%|
10_41_3.wav |0.1%|85.6%|0.7%|0.1%|0.3%|10.4%|2.3%|0.4%|
10_41_4.wav |1.0%|1.4%|0.5%|1.1%|8.8%|8.4%|0.5%|78.3%|
10_42_0.wav |1.2%|10.7%|0.3%|1.3%|17.8%|59.3%|4.1%|5.2%|
10_42_1.wav |19.0%|0.7%|0.5%|2.7%|53.0%|9.0%|1.8%|13.2%|
10_42_2.wav |2.3%|50.8%|3.5%|0.4%|4.1%|19.1%|19.4%|0.5%|
10_42_3.wav |0.4%|55.5%|2.4%|0.4%|1.6%|10.0%|29.6%|0.2%|
10_42_4.wav |5.7%|3.7%|2.4%|1.4%|16.3%|14.0%|1.9%|54.5%|
10_43_0.wav |0.8%|15.4%|0.5%|1.0%|10.1%|58.9%|3.2%|10.1%|
10_43_1.wav |45.8%|0.2%|0.9%|2.6%|37.3%|2.6%|1.4%|9.2%|
10_43_2.wav |10.3%|30.9%|27.6%|0.6%|4.5%|9.5%|13.9%|2.7%|
10_43_3.wav |0.1%|87.5%|2.5%|0.1%|0.3%|5.0%|4.3%|0.2%|
10_43_4.wav |2.4%|0.2%|2.4%|0.4%|2.1%|0.5%|0.1%|91.8%|
10_44_0.wav |3.9%|5.1%|0.8%|2.0%|33.5%|37.0%|6.0%|11.6%|
10_44_1.wav |30.6%|0.2%|0.5%|5.1%|54.7%|2.2%|4.0%|2.6%|
10_44_2.wav |17.9%|14.8%|35.9%|0.8%|6.2%|7.0%|8.4%|9.0%|
10_44_3.wav |0.4%|59.4%|16.7%|0.2%|0.4%|2.3%|20.4%|0.2%|
10_44_4.wav |4.4%|1.5%|5.8%|1.1%|7.2%|3.3%|1.3%|75.5%|
10_45_0.wav |0.6%|41.0%|1.2%|0.7%|5.0%|39.8%|9.5%|2.1%|
10_45_1.wav |18.9%|4.8%|3.8%|2.1%|35.0%|16.4%|11.9%|7.1%|
10_45_2.wav |0.8%|58.7%|22.8%|0.2%|0.6%|2.8%|13.7%|0.4%|
10_45_3.wav |0.3%|70.2%|15.0%|0.1%|0.2%|2.0%|12.0%|0.1%|
10_45_4.wav |9.0%|2.8%|77.5%|0.4%|1.3%|0.6%|3.8%|4.7%|
10_46_0.wav |0.9%|14.0%|0.5%|1.3%|13.0%|55.6%|3.5%|11.2%|
10_46_1.wav |2.3%|4.8%|0.5%|2.3%|25.1%|33.8%|2.5%|28.7%|
10_46_2.wav |0.4%|80.7%|7.8%|0.2%|0.5%|5.5%|4.2%|0.8%|
10_46_3.wav |0.1%|90.2%|1.6%|0.1%|0.2%|4.8%|2.8%|0.2%|
10_46_4.wav |2.4%|0.5%|8.2%|0.4%|1.2%|0.4%|0.2%|86.6%|
10_47_0.wav |1.4%|9.8%|0.7%|1.8%|18.8%|47.1%|4.7%|15.6%|
10_47_1.wav |6.0%|10.5%|2.3%|1.9%|22.6%|34.6%|6.9%|15.0%|
10_47_2.wav |0.2%|79.9%|4.4%|0.2%|0.5%|7.0%|7.3%|0.4%|
10_47_3.wav |0.2%|72.9%|17.9%|0.1%|0.1%|1.0%|7.7%|0.1%|
10_47_4.wav |1.6%|4.6%|15.1%|0.7%|2.2%|2.8%|1.2%|71.8%|
10_48_0.wav |1.4%|19.2%|1.4%|1.3%|10.5%|45.0%|4.8%|16.3%|
10_48_1.wav |10.4%|1.6%|1.8%|1.8%|21.4%|9.6%|1.4%|52.0%|
10_48_2.wav |1.1%|60.0%|9.1%|0.5%|1.7%|13.4%|3.5%|10.7%|
10_48_3.wav |0.0%|91.5%|0.7%|0.1%|0.1%|5.6%|1.7%|0.2%|
10_48_4.wav |0.8%|0.1%|0.9%|0.4%|1.2%|0.4%|0.1%|96.2%|
10_49_0.wav |2.9%|4.4%|0.5%|1.5%|24.9%|34.2%|1.8%|29.7%|
10_49_1.wav |55.6%|0.5%|3.1%|1.0%|14.6%|2.1%|0.7%|22.5%|
10_49_2.wav |1.6%|31.9%|61.8%|0.1%|0.2%|0.9%|2.7%|0.7%|
10_49_3.wav |0.4%|60.5%|32.1%|0.1%|0.1%|0.9%|5.8%|0.2%|
10_49_4.wav |5.6%|0.3%|3.1%|0.6%|4.3%|1.0%|0.3%|84.8%|
10_50_0.wav |2.7%|8.2%|0.7%|2.0%|21.9%|46.8%|3.8%|14.0%|
10_50_1.wav |40.7%|0.4%|1.0%|2.8%|43.4%|4.3%|3.3%|4.1%|
10_50_2.wav |6.0%|34.5%|26.9%|0.6%|3.3%|8.2%|18.6%|1.9%|
10_50_3.wav |0.6%|42.8%|38.2%|0.2%|0.2%|1.1%|16.7%|0.2%|
10_50_4.wav |22.6%|3.9%|18.8%|1.7%|14.0%|6.5%|6.6%|25.9%|
1_20_0.wav |0.7%|40.6%|1.5%|1.0%|5.8%|35.9%|12.0%|2.5%|
1_20_1.wav |53.0%|1.2%|5.2%|1.6%|22.4%|4.1%|3.6%|8.9%|
1_20_2.wav |10.1%|8.5%|3.4%|2.4%|30.1%|23.1%|13.2%|9.1%|
1_20_3.wav |1.4%|32.4%|2.6%|1.4%|9.1%|29.5%|21.1%|2.5%|
1_20_4.wav |6.2%|2.3%|0.7%|4.2%|53.1%|17.8%|8.7%|7.0%|
1_21_0.wav |0.6%|53.3%|2.5%|0.8%|3.3%|28.2%|6.6%|4.7%|
1_21_1.wav |9.4%|2.3%|1.5%|2.3%|28.6%|16.1%|2.3%|37.5%|
1_21_2.wav |1.4%|12.0%|0.7%|2.0%|16.9%|49.2%|4.5%|13.4%|
1_21_3.wav |0.9%|52.1%|5.0%|0.7%|3.4%|17.6%|18.8%|1.4%|
1_21_4.wav |8.9%|1.0%|0.8%|2.8%|40.1%|10.8%|2.1%|33.5%|
1_22_0.wav |4.7%|2.1%|0.8%|1.4%|25.5%|20.9%|1.6%|42.9%|
1_22_1.wav |36.7%|0.2%|0.7%|2.8%|35.0%|2.3%|0.6%|21.8%|
1_22_2.wav |54.4%|0.7%|2.0%|1.2%|26.8%|4.7%|1.8%|8.5%|
1_22_3.wav |65.7%|0.4%|5.0%|1.3%|15.7%|1.2%|9.5%|1.2%|
1_22_4.wav |68.4%|0.1%|0.9%|2.1%|23.8%|0.7%|1.6%|2.3%|
1_23_0.wav |4.4%|11.5%|6.7%|1.5%|10.1%|16.2%|4.0%|45.6%|
1_23_1.wav |8.4%|0.6%|1.1%|1.9%|18.3%|4.4%|0.7%|64.6%|
1_23_2.wav |4.1%|11.3%|4.8%|2.1%|14.4%|20.5%|5.5%|37.3%|
1_23_3.wav |1.4%|13.5%|1.0%|2.1%|20.3%|39.2%|17.7%|4.6%|
1_23_4.wav |25.4%|4.3%|21.3%|1.9%|10.7%|4.8%|4.4%|27.2%|
1_24_0.wav |1.5%|18.1%|0.9%|1.8%|15.2%|48.6%|9.4%|4.5%|
1_24_1.wav |14.3%|2.2%|1.7%|3.3%|40.1%|14.5%|4.0%|19.9%|
1_24_2.wav |2.3%|15.9%|1.3%|2.3%|19.5%|40.9%|11.8%|5.9%|
1_24_3.wav |7.4%|5.7%|3.3%|3.5%|25.2%|11.8%|41.1%|2.0%|
1_24_4.wav |2.7%|9.3%|1.3%|4.3%|28.9%|27.5%|20.7%|5.2%|
1_25_0.wav |2.1%|10.3%|0.9%|1.7%|20.7%|46.6%|6.6%|11.3%|
1_25_1.wav |6.8%|1.8%|0.6%|2.6%|42.4%|20.4%|2.6%|22.8%|
1_25_2.wav |0.9%|9.9%|0.3%|1.4%|16.9%|59.7%|4.2%|6.6%|
1_25_3.wav |0.4%|32.7%|0.8%|0.8%|6.2%|42.2%|15.5%|1.4%|
1_25_4.wav |1.7%|3.8%|0.3%|2.3%|35.6%|42.4%|5.0%|8.9%|
1_26_0.wav |6.0%|24.3%|10.3%|1.0%|10.0%|23.4%|9.3%|15.8%|
1_26_1.wav |2.2%|5.5%|0.4%|1.6%|22.9%|44.5%|2.2%|20.6%|
1_26_2.wav |1.7%|5.7%|0.3%|1.7%|25.0%|47.6%|2.9%|15.0%|
1_26_3.wav |0.6%|50.6%|2.0%|0.5%|3.5%|30.4%|10.1%|2.2%|
1_26_4.wav |31.9%|3.6%|31.3%|1.1%|8.9%|3.5%|6.2%|13.4%|
1_27_0.wav |8.0%|22.5%|9.0%|1.4%|11.6%|17.1%|28.3%|2.2%|
1_27_1.wav |68.0%|0.6%|5.4%|1.2%|15.5%|2.1%|2.9%|4.1%|
1_27_2.wav |9.9%|14.0%|2.7%|1.5%|23.1%|29.5%|16.7%|2.7%|
1_27_3.wav |0.7%|51.7%|15.2%|0.3%|0.8%|3.8%|27.2%|0.3%|
1_27_4.wav |3.4%|3.1%|0.6%|3.3%|43.7%|17.7%|26.7%|1.5%|
1_28_0.wav |3.1%|9.6%|1.8%|1.7%|20.9%|37.2%|6.6%|19.0%|
1_28_1.wav |8.0%|1.9%|0.9%|2.3%|40.3%|19.0%|3.0%|24.4%|
1_28_2.wav |11.4%|3.1%|3.1%|2.8%|32.5%|14.6%|5.9%|26.6%|
1_28_3.wav |2.4%|22.0%|3.3%|1.3%|13.4%|32.5%|20.9%|4.2%|
1_28_4.wav |12.3%|1.4%|1.6%|4.5%|49.1%|10.1%|7.2%|13.8%|
1_29_0.wav |1.5%|59.2%|10.0%|0.5%|2.1%|11.0%|14.7%|1.0%|
1_29_1.wav |31.4%|4.2%|7.1%|2.0%|26.0%|10.7%|8.0%|10.7%|
1_29_2.wav |1.2%|52.8%|4.5%|0.9%|4.0%|22.6%|11.3%|2.8%|
1_29_3.wav |0.8%|61.5%|8.2%|0.3%|1.2%|6.9%|20.6%|0.3%|
1_29_4.wav |2.4%|0.3%|0.4%|1.5%|12.6%|2.7%|0.4%|79.7%|
1_30_0.wav |1.2%|4.2%|0.5%|1.3%|12.7%|25.0%|1.1%|54.0%|
1_30_1.wav |2.7%|3.5%|0.6%|1.7%|22.6%|28.1%|1.6%|39.2%|
1_30_2.wav |1.6%|3.2%|0.3%|2.3%|28.5%|33.5%|1.7%|28.8%|
1_30_3.wav |0.5%|36.5%|0.8%|0.8%|5.8%|45.3%|5.8%|4.5%|
1_30_4.wav |3.5%|1.0%|1.3%|1.1%|10.6%|5.4%|0.6%|76.4%|
1_31_0.wav |1.1%|20.4%|0.9%|1.2%|12.7%|49.6%|8.9%|5.1%|
1_31_1.wav |2.3%|6.3%|0.5%|2.6%|35.2%|39.6%|8.6%|4.9%|
1_31_2.wav |0.7%|18.7%|0.4%|1.3%|12.5%|55.6%|8.1%|2.7%|
1_31_3.wav |0.3%|53.5%|1.8%|0.5%|2.2%|17.0%|24.2%|0.5%|
1_31_4.wav |5.8%|2.0%|0.8%|4.4%|51.9%|11.5%|20.2%|3.4%|
1_32_0.wav |3.1%|9.3%|2.9%|2.5%|17.7%|24.4%|6.0%|34.1%|
1_32_1.wav |22.9%|0.8%|1.9%|3.6%|39.3%|5.8%|3.0%|22.7%|
1_32_2.wav |1.8%|4.3%|0.6%|5.0%|37.4%|27.9%|7.7%|15.1%|
1_32_3.wav |1.3%|11.1%|1.3%|3.1%|21.2%|26.6%|31.9%|3.4%|
1_32_4.wav |17.3%|1.5%|1.8%|3.2%|44.9%|10.6%|5.3%|15.5%|
1_33_0.wav |1.6%|12.3%|1.1%|2.4%|21.1%|40.9%|12.8%|7.8%|
1_33_1.wav |3.2%|4.6%|1.2%|5.1%|38.5%|19.7%|23.4%|4.5%|
1_33_2.wav |1.5%|1.7%|0.3%|8.3%|54.0%|16.4%|12.2%|5.6%|
1_33_3.wav |0.6%|17.9%|1.3%|1.8%|9.9%|21.1%|46.5%|0.9%|
1_33_4.wav |7.9%|1.8%|3.3%|5.1%|38.1%|8.5%|9.7%|25.6%|
1_34_0.wav |1.2%|61.7%|11.0%|0.7%|2.0%|11.2%|9.4%|2.8%|
1_34_1.wav |25.1%|6.6%|47.6%|1.0%|4.5%|2.6%|6.1%|6.4%|
1_34_2.wav |3.5%|16.2%|2.0%|2.5%|19.9%|36.5%|10.4%|9.0%|
1_34_3.wav |1.5%|43.1%|4.4%|0.8%|5.0%|19.1%|24.9%|1.1%|
1_34_4.wav |15.9%|8.5%|52.5%|1.1%|4.0%|3.0%|6.3%|8.8%|
1_35_0.wav |10.2%|8.1%|3.8%|2.2%|29.3%|22.2%|12.4%|11.7%|
1_35_1.wav |49.4%|2.6%|13.3%|1.3%|14.9%|4.0%|8.1%|6.4%|
1_35_2.wav |7.9%|4.2%|1.9%|2.4%|34.5%|19.7%|5.3%|24.2%|
1_35_3.wav |2.6%|45.7%|15.8%|0.5%|2.4%|7.2%|25.0%|0.9%|
1_35_4.wav |43.6%|1.5%|4.6%|1.6%|28.5%|5.7%|6.0%|8.5%|
1_36_0.wav |3.2%|40.4%|28.2%|0.7%|2.9%|8.9%|8.7%|6.9%|
1_36_1.wav |21.9%|8.9%|35.1%|1.0%|7.4%|5.6%|6.4%|13.6%|
1_36_2.wav |0.7%|68.0%|6.1%|0.5%|1.7%|11.9%|9.7%|1.4%|
1_36_3.wav |1.7%|25.4%|3.8%|1.2%|9.5%|20.7%|36.3%|1.5%|
1_36_4.wav |7.8%|3.0%|3.0%|3.1%|32.7%|13.0%|6.5%|30.9%|
1_37_0.wav |0.4%|39.8%|0.9%|0.7%|4.2%|44.0%|4.3%|5.9%|
1_37_1.wav |1.1%|34.7%|2.0%|0.9%|6.8%|39.6%|5.9%|8.9%|
1_37_2.wav |0.7%|24.6%|0.9%|1.0%|7.6%|48.8%|3.5%|12.8%|
1_37_3.wav |0.2%|75.8%|2.1%|0.2%|0.9%|11.8%|8.7%|0.5%|
1_37_4.wav |2.4%|29.2%|3.9%|1.3%|10.6%|31.9%|11.8%|8.8%|
1_38_0.wav |0.4%|30.2%|0.6%|0.8%|5.5%|53.3%|4.0%|5.4%|
1_38_1.wav |4.2%|2.8%|0.5%|2.1%|40.2%|31.5%|3.1%|15.6%|
1_38_2.wav |1.7%|5.4%|0.5%|1.9%|26.6%|42.8%|3.2%|18.0%|
1_38_3.wav |0.4%|23.2%|0.7%|0.9%|7.6%|28.8%|37.9%|0.5%|
1_38_4.wav |64.1%|0.6%|5.4%|1.5%|17.5%|1.9%|3.0%|6.0%|
1_39_0.wav |1.0%|64.8%|4.3%|0.4%|2.1%|19.2%|5.4%|2.7%|
1_39_1.wav |26.7%|7.0%|52.3%|0.4%|2.5%|2.3%|3.3%|5.4%|
1_39_2.wav |3.3%|19.6%|71.9%|0.1%|0.4%|1.0%|2.5%|1.3%|
1_39_3.wav |1.7%|26.1%|57.6%|0.2%|0.4%|1.0%|12.9%|0.3%|
1_39_4.wav |4.7%|4.5%|87.1%|0.1%|0.3%|0.3%|2.6%|0.4%|
1_40_0.wav |3.8%|9.9%|2.7%|2.3%|25.7%|29.3%|14.1%|12.2%|
1_40_1.wav |12.9%|10.4%|15.5%|2.7%|16.3%|9.9%|25.6%|6.7%|
1_40_2.wav |9.1%|1.8%|2.8%|6.3%|39.0%|6.2%|29.8%|4.9%|
1_40_3.wav |1.4%|9.4%|2.8%|1.5%|8.0%|7.6%|68.9%|0.5%|
1_40_4.wav |7.5%|0.6%|1.4%|4.9%|29.2%|3.9%|2.2%|50.4%|
1_41_0.wav |2.0%|47.7%|7.6%|0.7%|4.5%|19.1%|15.8%|2.8%|
1_41_1.wav |39.3%|5.6%|7.7%|1.3%|20.6%|10.0%|11.7%|3.9%|
1_41_2.wav |0.4%|23.9%|0.4%|1.3%|9.3%|54.3%|7.3%|3.0%|
1_41_3.wav |0.8%|19.1%|1.3%|1.0%|7.4%|17.2%|53.0%|0.4%|
1_41_4.wav |19.1%|1.2%|0.8%|2.1%|55.1%|11.4%|5.9%|4.4%|
1_42_0.wav |0.7%|4.9%|0.1%|3.0%|36.7%|44.0%|8.4%|2.3%|
1_42_1.wav |5.8%|2.7%|0.3%|3.1%|54.7%|23.3%|7.9%|2.2%|
1_42_2.wav |1.1%|1.8%|0.1%|4.7%|58.6%|25.0%|6.1%|2.6%|
1_42_3.wav |0.8%|4.3%|0.2%|2.9%|31.2%|20.1%|40.1%|0.5%|
1_42_4.wav |1.5%|2.3%|0.1%|5.2%|55.3%|25.3%|6.7%|3.5%|
1_43_0.wav |1.3%|16.3%|0.8%|0.9%|12.6%|55.2%|5.1%|7.8%|
1_43_1.wav |58.7%|0.9%|8.6%|0.9%|11.6%|2.6%|1.6%|15.1%|
1_43_2.wav |3.1%|11.3%|1.0%|1.3%|17.9%|47.6%|3.7%|14.1%|
1_43_3.wav |1.6%|19.1%|1.1%|0.9%|13.3%|47.3%|14.2%|2.5%|
1_43_4.wav |20.0%|0.5%|1.8%|1.6%|22.7%|4.0%|0.9%|48.6%|
1_44_0.wav |1.5%|12.9%|0.9%|1.2%|15.2%|49.7%|4.9%|13.7%|
1_44_1.wav |20.0%|0.7%|0.7%|2.9%|57.8%|7.7%|4.7%|5.5%|
1_44_2.wav |2.9%|1.0%|0.3%|7.3%|64.1%|10.2%|11.5%|2.7%|
